Species,F1,Father,Mother,F2,Father Age At Birth (y),Mother Age At Birth (y),F1 Depth of Coverage,FNR,Bamsurgeon FNR,Transmission Probability (q tilde),Callable Genome Size,Callable Repeat Genome Size,Notes,,
human,H3,H2,H1,H20,24.830,24.764,22.860,0.10055,0.19181,0.56735,2551776166,1255879700,.,,
human,H4,H2,H1,H19,31.104,31.038,24.630,0.09360,.,0.57337,2549118399,1254427543,.,,
human,H5,H2,H1,H18,45.800,45.734,21.211,0.10370,.,0.47523,2551206548,1255636210,.,,
human,H8,H7,H6,H23,20.929,21.279,20.070,0.14060,.,0.51018,2485807977,1193560721,.,,
human,H9,H7,H6,H22,32.537,32.888,21.493,0.10060,.,0.52935,2543892131,1251519266,.,,
human,H10,H7,H6,H21,42.553,42.904,20.077,0.10855,.,0.53688,2547773581,1253382847,.,,
human,H13,H12,H11,H24,31.890,24.093,18.601,0.18955,.,0.58776,2391428428,1183827059,.,,
human,H14,H12,H11,H25,35.630,27.833,22.814,0.09105,.,0.48551,2550429121,1255122147,.,,
human,H15,H12,H11,H26,37.644,29.847,20.918,0.11350,.,0.55516,2540484074,1249842157,.,,
human,H16,H12,H11,H27,47.679,39.882,22.041,0.09350,.,0.58494,2542732260,1251207331,.,,
baboon,15444,10173,9841,.,8.195,8.715,34.959,0.09105,.,.,2351609909,775932147,.,,
baboon,16413,10173,9841,.,9.375,9.896,33.951,0.09275,.,.,2350838778,775619880,.,,
baboon,16517,10173,12242,.,9.515,5.956,34.662,0.10055,.,.,2352296397,775428948,.,,
baboon,17199,10173,9841,.,10.430,10.951,35.772,0.09140,0.17694,.,2350761017,775613206,.,,
baboon,18385,10173,9841,.,11.271,11.792,49.706,0.10290,.,.,2350236047,775895631,.,,
baboon,19181,10173,12242,33863,12.247,8.688,49.148,0.10275,0.16521,0.53458,2351349686,775558829,.,,
baboon,19348,10173,9841,32043,12.463,12.984,39.555,0.09600,.,0.53202,2351505804,776293499,.,,
baboon,19348,10173,9841,32849,12.463,12.984,39.555,0.09600,.,0.53363,2351505804,776293499,second F2,,
baboon,26988,10173,12242,.,14.455,10.896,42.883,0.09895,.,.,2351289759,775307048,.,,
baboon,28246,10173,12242,.,15.452,11.893,35.602,0.10015,.,.,2352314788,775441936,.,,
baboon,7267,1X2816,1X0356,14068,7.934,.,58.171,0.09335,.,0.58220,2256280953,729011441,.,,
baboon,7267,1X2816,1X0356,11885,7.934,.,58.171,0.09335,.,0.62113,2256280953,729011441,second F2,,
baboon,7311,1X2816,1X4080,13951,7.997,5.329,25.157,0.11030,.,0.68596,2345975994,771787727,.,,
baboon,8395,1X2816,1X4519,14012,9.540,.,26.299,0.11645,.,0.61853,2325856928,761679184,.,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
